Key,Value
2064,"Die Heerschaar des Horns hat die Ehre, seiner[/center]
ehrfurchtgebietenden Hoheit Baron Shryke zu[/center]
dienen. Unsere Pflichten bestehen aus allen[/center]
wichtigen Belangen von Kriegsführung über[/center]
Spionage bis hin zu Steuereintreibung.[/center]
[/center]
Um diese Verwirrung aus der Welt zu schaffen:[/center]
Der schwächliche Bruder des Barons, Fürst Kain,[/center]
hat seinen eigenen Orden der unrechtmäßigen[/center]
Übernahme des Thrones von Lainlyn gewidmet und[/center]
nennt diese erbärmliche Truppe idiotischerweise[/center]
die Heerschaar des Wahren Horns.[/center]
[/center]
Nur wenn jemand Treue gegenüber Baron Shryke[/center]
und Heldenmut im Kampf bewiesen hat, mag er[/center]
zur Aufnahme in unsere stolze Heerschaar in[/center]
Betracht gezogen werden. Wir haben haben uns[/center]
die Furcht und den Respekt von ganz Lainlyn[/center]
nicht damit erworben, unsere Zeit mit[/center]
hoffnungslosen Fällen zu verschwenden.[/center]
[/center]
Möchtet Ihr vielleicht beitreten?
[/end]"
2065,"Wir sind die Ritter der Eule und haben die Aufgabe,[/center]
die Herrscherfamilie von Felsschlucht zu schützen[/center]
und für sie zu kämpfen. Nur bei solchen mit[/center]
außerordentlichen Kampfesfertigkeiten, die sich[/center]
ganz dem Wohl von Felsschlucht verschrieben haben,[/center]
wird die Aufnahme in unseren Ritterorden erwogen.[/center]
[/center]
Unsere Ritter sind die fürstliche Begleitung[/center]
unseres Barons und werden in ganz Felsschlucht[/center]
mit unvergleichlichem Respekt behandelt.[/center]
[/center]
Möchtet Ihr vielleicht beitreten?
[/end]"
2066,"In aller Bescheidenheit ist der Orden des[/center]
Raben ein legendärer Kriegerorden. Wir[/center]
haben die Ehre, die Schlacht gegen den[/center]
Usurpator Camoran angeführt und halb Tamriel[/center]
von seiner Tyrannei befreit zu haben.[/center]
[/center]
Wir bleiben der Vortrupp der Baronie Dwynnen[/center]
und beschützen die gesamte Region. An unserem[/center]
Ruf gemessen können wir nur die großartigsten[/center]
Krieger und getreuesten Anhänger des Barons[/center]
in unseren Orden aufnehmen.[/center]
[/center]
Möchtet Ihr vielleicht beitreten?
[/end]"
2067,"Die Ritter vom Rade repräsentieren die Stadt[/center]
und Herrscherfamilie von Abibon-Gora in allen[/center]
militärischen Angelegenheiten.
[/center]
Wir sind gerade nicht auf der Suche nach neuen[/center]
Mitgliedern für unseren Orden. Ein besonders[/center]
talentierter Krieger, der für seine (oder ihre)[/center]
Hingabe zu Abibon-Gora bekannt ist, könnte es[/center]
sich allerdings dennoch verdient haben, in[/center]
Betracht gezogen zu werden.[/center]
[/center]
Möchtet Ihr vielleicht beitreten?
[/end]"
2068,"Wir vom Orden des Skarabäus haben die[/center]
Ehre, die offiziellen Beschützer der[/center]
Herrscherfamilie von Totambu zu sein. Wir[/center]
haben viele Pflichten, aber unsere Ansehen[/center]
ist groß. Nur die vollendetsten und loyalsten[/center]
Krieger werden für einen Beitritt in Betracht[/center]
gezogen. Dies ist wahrhaftig eine große Ehre.[/center]
[/center]
Möchtet Ihr vielleicht beitreten?
[/end]"
2069,"Die Ritter des Falken stellen die edlen Krieger[/center]
und Beschützer der Stadt und Herrscherfamilie[/center]
von Antiphyllos. Viele haben seit Ihrer Kindheit[/center]
geübt, um unserem Ritterorden für Ruhm und[/center]
Ehre beizutreten.[/center]
[/center]
Möchtet Ihr vielleicht beitreten?
[/end]"
2070,"Die Ritter des Kreises sind die militärische[/center]
Hand des Orden von Arkay. Es ist unsere[/center]
feierliche Pflicht, den Orden zu beschützen[/center]
und seine Kämpfe zu bestreiten. Unsere[/center]
Hingabe zum Gott Arkay und dem Orden ist[/center]
vollkommen.[/center]
[/center]
Nur jene, die über außergewöhnliches[/center]
Kampfgeschick und unerschütterliche[/center]
Ergebenheit gegenüber dem Orden und[/center]
Arkay verfügen, werden für die Aufnahme[/center]
bei den Rittern des Kreises in Betracht[/center]
gezogen.[/center]
[/end]"
2071,"Wir von den Rittern des Eisens sind für[/center]
die militärischen Aktionen der Resolution[/center]
des Zenithar verantwortlich. Zenithar ist[/center]
nicht einfach nur der Gott der Händler[/center]
und des Handels; er ist auch ein Kriegergott.[/center]
Wir repräsentieren diese Seite von Ihm.[/center]
[/center]
Selbstredend steht es uns nicht an, neue[/center]
Mitglieder aufzunehmen, die etwas anderes[/center]
als außerordentliche Kämpfer und unserer[/center]
Sache vollkommen ergeben sind.[/center]
[/end]"
2072,"Mara steht für Liebe und Frieden. Sie und[/center]
Ihre Barmherzigkeit erkennen aber auch, dass[/center]
es, so heuchlerisch es sich anhören mag, oft[/center]
militärische Stärke braucht, um diesen Frieden[/center]
herzustellen. Die Maranischen Ritter bringen[/center]
diese militärische Stärke auf.[/center]
[/center]
Wir sind zugegebenermaßen ein kontroverser[/center]
Ritterorden. Manche irregeleiteten Geistlichen[/center]
im Tempel würden es befürworten, wenn wir uns[/center]
auflösten, aber sie sind in der Minderheit,[/center]
und alle respektieren unsere Fertigkeiten[/center]
und unsere Treue.[/center]
[/end]"
2073,"Wir sind die militärische Hand der Kantorei[/center]
des Akatosh, der Ordens der Stunde, und mit[/center]
dem Schutz der Kantorei betraut. Unsere[/center]
Ritter sind dem Großen Drachen ergeben[/center]
und widmen sich dem Versprechen auf[/center]
Stabilität und Dauerhaftigkeit, für das[/center]
Akatosh steht.[/center]
[/center]
Unsere Pflichten sind wahrlich vielfältig[/center]
und wir sind reich an Ehren. Ein neues[/center]
Mitglied besitzt in unserem Orden dieselben[/center]
Rechte und Ehren wie ein Novize der Kantorei.[/center]
[/end]"
2074,"Die Rittermentoren sind Brüder und Schwestern[/center]
der Schule des Julianos. Während sie Forschung[/center]
treiben und die Bibliotheken der Schule[/center]
erweitern, sorgen wir für ihren Schutz. Und[/center]
im Gegenzug teilen sie ihr erweitertes Wissen[/center]
mit uns. Es ist eine perfekte Zusammenarbeit[/center]
und nützt uns gleichermaßen.[/center]
[/center]
Natürlich werden nur solche mit besonderen[/center]
kämpferischen Fertigkeiten und erwiesener[/center]
Ergebenheit gegenüber der Schule und Gott[/center]
Julianos überhaupt für einen Beitritt zu[/center]
den Rittermentoren in Betracht gezogen.[/center]
[/end]"
2075,"Das Haus der Dibella ist die großherzigste[/center]
Institution in ganz Tamriel, und wir vom[/center]
Orden der Lilie sind seiner Sache streng[/center]
ergeben. Seine einzige Schwäche ist, dass[/center]
die Prieser und Priesterinnen oft zu sehr[/center]
mit der Verbreitung der Schönheit beschäftigt[/center]
sind, um sich selbst noch angemessen zu[/center]
schützen.[/center]
[/center]
Dies ist die heilige Sache, für die der Orden[/center]
der Lilie kämpft. Wir beschützen das Haus und[/center]
erhalten dafür von gleichrangigen Klerikern[/center]
Ausbildung und Segnung. Ich kann mir keinen[/center]
besseren Grund zu kämpfen vorstellen als die[/center]
Schönheit selbst.[/center]
[/end]"
2076,"Wir, die Ritter von Stendarr dem Gnädigen[/center]
nennen uns selbst Kreuzritter, weil es[/center]
unsere heilige Pflicht ist, den Tempel zu[/center]
beschützen und seine Schlachten zu schlagen.[/center]
Obwohl wir entschieden für die Tempelphilosophie[/center]
von Mitgefühl und Wohltat eintreten, erkennen[/center]
wir an, dass ein schwacher Tempel realistisch[/center]
nicht überleben kann.[/center]
[/center]
Nur solchen, die außergewöhnliche Fertigkeiten[/center]
im Kampf und Hingabe gegenüber dem Tempel und[/center]
dem Gott Stendarr bewiesen haben, steht die[/center]
Möglichkeit des Beitritts zu den Kreuzrittern offen.[/center]
[/end]"
2077,"Wir sind die starke Hand der Göttin[/center]
Kynareth, eine Abzweigung ihres Tempels[/center]
mit dem Ziel, in ganz Tamriel für ihre[/center]
Sache zu kämpfen. Als Mitglieder des[/center]
Kynarischen Ordens werden wir vom[/center]
Tempel für unsere Fertigkeiten und[/center]
unsere Treue geschätzt, und es wird[/center]
uns vollständiger Zugang zu seinen[/center]
Segnungen und Diensten gewährt -[/center]
natürlich dem jeweiligen Ordensrang[/center]
entsprechend, versteht sich.[/center]
[/center]
Mögliche Kandidaten für den Beitritt[/center]
in den Kynarischen Orden werden[/center]
aufgrund ihrer kämpferischen Fertigkeiten[/center]
und ihres Ansehens im Tempel ausgewählt.[/center]
[/end]"
2100,"Magier sind jene, die ihr Dasein der Erforschung[/center]
und Ausübung der arkanen Magiekünste gewidmet haben.[/center]
Ein erfahrener Magier kann eine tödliche Macht[/center]
entfalten, mit der gerechnet werden muss.[/center]
[/center]
Die wichtigsten Fertigkeiten für einen Magier sind:[/center]
Alle Schulen der Magie - Mystik,[/center]
Veränderung, Thaumaturgie, Illusion, Zerstörung[/center]
und Wiederherstellung.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Magier wird?[/center]
[/end]"
2101,"Magierkrieger sind Kämpfer, die auch im Einsatz[/center]
von Magie sehr bewandert sind. Diese doppelte[/center]
Spezialisierung macht sie zu gefürchteten Gegnern.[/center]
[/center]
Die wichtigsten Fertigkeiten von Magierkriegern sind:[/center]
Axt, Langwaffe, Stumpfe Waffe, Zerstörung,[/center]
Illusion und Veränderung.[/center]
[/center]
Wollt Ihr, dass Eurer Charakter ein Magierkrieger wird?[/center]
[/end]"
2102,"Kampfmagier setzen ihre magischen Künste gezielt[/center]
für Gefechte ein. Sie sind von Natur aus sehr[/center]
geschickt darin, Angriffszauber zu wirken.[/center]
[/center]
Die bedeutendsten Fertigkeiten für einen Kampfmagier sind:[/center]
Zerstörung, Langwaffe, Axt, Thaumaturgie,[/center]
Veränderung und Nahkampf.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Kampfmagier wird?[/center]
[/end]"
2103,"Hexer sind Meister der Manipulation magischer[/center]
Kräfte, obgleich sie nicht ihre eigene magische[/center]
Energie erzeugen. Stattdessen absorbieren sie[/center]
die Energie von Zaubern, die auf sie gewirkt[/center]
werden, und nutzen diese dann für ihre eigenen[/center]
Sprüche.[/center]
[/center]
Die wichtigsten Fähigkeiten für Hexer sind:[/center]
Alle Schulen der Magie - Mystik, Veränderung,[/center]
Thaumaturgie, Zerstörung, Wiederherstellung und[/center]
Illusion.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Hexer wird?[/center]
[/end]"
2104,"Heiler setzen ihre magische Gabe ein, um Wunden[/center]
zu schließen und Krankheiten zu heilen. Ihre[/center]
Aufgaben sind von Natur aus hauptsächlich[/center]
defensiv.[/center]
[/center]
Die für Heiler wichtigsten Fertigkeiten sind:[/center]
Wiederherstellung, Heilkunde, Ausweichen,[/center]
Thaumaturgie, Mystik und Veränderung.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Heiler wird?[/center]
[/end]"
2105,"Nachtklingen nutzen ihre magischen Fähigkeiten,[/center]
um ihre Täuschungen zu unterstützen. Sie ähneln[/center]
Dieben, jedoch mit der Gabe, Magie zu wirken.[/center]
[/center]
Die wichtigsten Fertigkeiten für Nachtklingen sind:[/center]
Illusion, Schleichen, Ausweichen, Thaumaturgie,[/center]
Kurzwaffe und Schlösser öffnen.[/center]
[/center]
Wollt Ihr, dass Euer Charakter eine Nachtklinge wird?[/center]
[/end]"
2106,"Barden sind die vielfältigste Klasse und in vielen[/center]
verschiedenen Künsten bewandert. Sie verstehen sich im[/center]
Umgang mit Waffen, Magie und Diebeskünsten gleichermaßen.[/center]
[/center]
Die wichtigsten Fertigkeiten für Barden sind:[/center]
Schlagfertigkeit, Etikette, Taschendiebstahl,[/center]
Schleichen, Kurzwaffe und Nahkampf.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Barde wird?[/center]
[/end]"
2107,"Einbrecher beherrschen die Kunst, selbst die[/center]
sichersten Schlösser zu knacken. Sie können sich[/center]
unbemerkt selbst in die sichersten Anwesen schleichen,[/center]
ohne bemerkt zu werden.[/center]
[/center]
Die wichtigsten Fertigkeiten für Einbrecher sind:[/center]
Schlösser öffnen, Schleichen, Klettern,[/center]
Feilschen, Ausweichen und Kurzwaffe.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Einbrecher wird?[/center]
[/end]"
2108,"Banditen sind sowohl in den schattenhaften[/center]
Diebeskünsten als auch den Kampfkünsten des[/center]
Kriegers versiert.[/center]
[/center]
Banditen benötigen vor allem folgende Fertigkeiten:[/center]
Langwaffe, Schleichen, Ausweichen, Taschendiebstahl,[/center]
Meucheln und Schlagfertigkeit.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Bandit wird?[/center]
[/end]"
2109,"Akrobaten vereinen die Diebeskünste mit ihren[/center]
beeindruckenden körperlichen Fähigkeiten. Sie sind[/center]
schnell, wendig und behände.[/center]
[/center]
Die wichtigsten Fertigkeiten für Aktrobaten sind:[/center]
Springen, Ausweichen, Rennen, Klettern, Nahkampf[/center]
und Schleichen.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Akrobat wird?[/center]
[/end]"
2110,"Diebe sind bekannt für ihre List, Heimlichkeit und
[/center]
Schnelligkeit. Durch ihre Gerissenheit schaffen sie es,[/center]
sich ihren Lebensunterhalt zusammenzustehlen.[/center]
[/center]
Die wichtigsten Fertigkeiten für Diebe sind:[/center]
Taschendiebstahl, Schleichen, Kurzwaffe, Meucheln,[/center]
Klettern und Schlösser öffnen.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Dieb wird?[/center]
[/end]"
2111,"Assassinen werden gefürchtet und respektiert,[/center]
denn sie nutzen die Nacht zur Verschleierung und[/center]
ihre List, um tödliche Schläge auszuführen.[/center]
Kein Schloss kann die Klinge eines Assassinen aufhalten[/center]
[/center]
Die wichtigsten Fertigkeiten für Assassinen sind:[/center]
Kritischer Treffer, Meucheln, Schleichen, Kurzwaffe,[/center]
Langwaffe und Stumpfe Waffe.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Assassine wird?[/center]
[/end]"
2112,"Mönche beherrschen geistige Disziplinen in[/center]
vollendeter Weise. Ihr intensives mentales Training[/center]
befähigt sie dazu, ihren Körper in eine tödliche Waffe[/center]
zu verwandeln.[/center]
[/center]
Die wichtigsten Fertigkeiten für Mönche sind:[/center]
Nahkampf, Kritischer Treffer, Ausweichen, Schwimmen,[/center]
Heilkunde und Stumpfe Waffe.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Mönch wird?[/center]
[/end]"
2113,"Schützen sind Krieger, die Pfeil und Bogen meisterhaft führen.[/center]
[/center]
Die wichtigsten Fertigkeiten für Schützen sind:[/center]
Schütze, Nahkampf, Ausweichen, Axt, Stumpfe Waffe[/center]
und Kritischer Treffer.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Schütze wird?[/center]
[/end]"
2114,"Waldläufer sind in der Wildnis zuhause und ausgezeichnete[/center]
Jäger. Ihre Fertigkeiten im Überleben und Spurensuchen[/center]
sind unübertroffen.[/center]
[/center]
Die wichtigsten Fertigkeiten für Waldläufer sind:[/center]
Langwaffe, Axt, Klettern, Schwimmen, Schütze und[/center]
Kritischer Treffer.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Waldläufer wird?[/center]
[/end]"
2115,"Barbaren sind Krieger aus den rauen Landen[/center]
an den Rändern der zivilisierteren Gebiete.[/center]
Sie sind ausgezeichnete Kämpfer und können[/center]
auch unter widrigsten Bedignungen überleben.[/center]
[/center]
Die Fertigkeiten, die Barbaren am häufigsten benutzen, sind:[/center]
Stumpfe Waffe, Langwaffe, Axt, Springen, Rennen[/center]
und Schwimmen.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Barbar wird?[/center]
[/end]"
2116,"Krieger sind die Meister des Kampfes und der Waffenkunst.[/center]
Sie verstehen sich auf den Umgang mit den verschiedensten[/center]
Waffen und tragen oft schwere Rüstung.[/center]
[/center]
Die wichtigsten Fertigkeiten für Krieger sind:[/center]
Axt, Langwaffe, Stumpfe Waffe, Nahkampf, Schütze[/center]
und Kurzwaffe.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Krieger wird?[/center]
[/end]"
2117,"Ritter sind edle Krieger von adliger Abstammung,[/center]
die dem Ehrenkodex des Rittertums folgen.[/center]
[/center]
Die wichtigsten Fertigkeiten für Ritter sind:[/center]
Langwaffe, Etikette, Stumpfe Waffe, Axt, Schütze[/center]
und Kurzwaffe.[/center]
[/center]
Wollt Ihr, dass Euer Charakter ein Ritter wird?[/center]
[/end]"
2200,"Wählt das Geschlecht Eures Charakters aus.[/center]
[/end]"
2400,"Hilfe: Allgemeines[/center]
[/center]
Die Erstellung einer eigenen Klasse ermöglicht es Euch,[/left]
einen Charakter nach Euren Wünschen zu gestalten.[/left]
Eure neue Klasse muss folgendes erhalten:[/left]
[/left]
[/pos:x=10,y=0]1.[/pos:x=30,y=0]Einen Namen[/left]
[/pos:x=10,y=0]2.[/pos:x=30,y=0]Drei Primärfertigkeiten[/left]
[/pos:x=10,y=0]3.[/pos:x=30,y=0]Drei Hauptfertigkeiten[/left]
[/pos:x=10,y=0]4.[/pos:x=30,y=0]Sechs Nebenfertigkeiten[/left]
[/left]
Einige Anpassungen (z.B. das Hinzufügen von besonderen[/left]
Vor- oder Nachteilen oder die Erhöhung bzw. Verminderung[/left]
der Trefferpunkte pro Stufe) beeinflussen, wie einfach[/left]
oder schwierig es wird, Fertigkeiten zu verbessern und im[/left]
Rang aufzusteigen. Die Dolch-Anzeige verdeutlicht, wie schwer[/left]
es für Eure Klasse ist, neue Fertigkeiten zu erlernen.[/left]
[/left]
Klickt auf den entsprechenden Abschnitt in der Hilfe,[/left]
falls Ihr Fragen zu einer bestimmten Funktion der[/left]
Klassenerstellung habt. Oder konsultiert für weitere[/left]
Informationen zur Klassenerstellung den beiliegenden[/left]
Daggerfall-Almanach.[/left]
[/end]"
2401,"Hilfe: Klassenname[/center]
[/center]
Ihr könnt einen beliebigen Namen für Eure neu erstellte Klasse[/left]
wählen, solange dieser nicht länger als 23 Zeichen ist.[/left]
[/end]"
2402,"Hilfe: Attribute[/center]
[/center]
Der Grundwert der Attribute Stärke, Intelligenz, Willenskraft,[/left]
Geschicklichkeit, Schnelligkeit, Konstitution, Charisma und[/left]
Glück darf für eine neue Klasse 50 nicht überschreiten. Erhöht[/left]
Ihr ein Attribut um fünf Punkte, müsst Ihr von einem anderen[/left]
Attribut fünf Punkte abziehen.[/left]
[/left]
Das Ergebnis ist eine Liste der minimalen Attributswerte für[/left]
die neue Klasse. Euer Charakter wird voraussichtlich mehr[/left]
Attributspunkte haben als das Minimum.[/left]
[/left]
Für weitere Informationen und Beschreibungen über Attribute[/left]
siehe den beiliegenden Daggerfall-Almanach.[/left]
[/end]"
2403,"Hilfe: Fertigkeiten[/center]
[/center]
Mehr als alles andere wird die Klasse durch Fertigkeiten[/left]
definiert. Wählt die drei wichtigsten Fertigkeiten für[/left]
Eure Klasse als Primärfertigkeiten aus, die nächsten[/left]
drei als Hauptfertigkeiten und sechs weitere als[/left]
Nebenfertigkeiten.[/left]
[/left]
Die übrigen Fertigkeiten stehen Eurem Charakter[/left]
ebenfalls zur Verfügung, werden aber von Eurem[/left]
Charakter nur unzureichend - wenn überhaupt -[/left]
beherrscht und lassen sich schwieriger verbessern.[/left]
[/left]
Daher ist es wichtig, die am häufigsten genutzten[/left]
Fertigkeiten als Primär- und Hauptfertigkeiten auszuwählen.[/left]
Alle Fertigkeiten verbessern sich durch Benutzung, jedoch[/left]
erhöhen nur die Primär- und Hauptfertigkeiten auch die[/left]
Charakterstufe.[/left]
[/end]"
2404,"Hilfe: Besondere Vorteile[/center]
[/center]
Besondere Vorteile sind optionale Feineinstellungen für[/left]
eine selbsterstelle Klasse, beispielsweise Resistenz[/left]
gegen Krankheit oder Scharfes Gehör. Das Hinzufügen[/left]
besonderer Vorteile zu einer Klasse verlangsamt allerdings[/left]
das Verbessern von Fertigkeiten. Achtet daher auf die[/left]
Dolch-Anzeige zur Fertigkeitssteigerung (""Schwierigkeits-Dolch"")[/left]
Je höher der Dolch, desto schwieriger wird es Fertigkeiten[/left]
zu verbessern.[/left]
[/left]
Ihr könnt maximal sieben besondere Vorteile auswählen.[/left]
Eine detaillierte Beschreibung der einzelnen Vorteile[/left]
findet Ihr im beiliegenden Daggerfall-Almanach.[/left]
[/end]"
2405,"Hilfe: Besondere Nachteile[/center]
[/center]
Besondere Nachteile sind optionale Feineinstellungen für[/left]
eine selbsterstelle Klasse, beispielsweise Verbotene Waffen[/left]
oder Keine Spruchpunkte-Regeneration. Der Hauptzweck der[/left]
Nachteile besteht darin, die Vorteile auszugleichen und[/left]
damit die Fertigkeitssteigerung zu erleichtern, die durch
den ""Schwierigkeits-Dolch"" bestimmt wird.[/left]
[/left]
Ihr könnt maximal sieben besondere Nachteile aussuchen.[/left]
Eine detaillierte Beschreibung der einzelnen Nachteile[/left]
findet Ihr im beiliegenden Daggerfall-Almanach.[/left]
[/end]"
2406,"Hilfe: Ruf[/center]
[/center]
Das Bearbeiten des Rufs ist eine optionale Funktion der[/left]
Klassenerstellung. Es erlaubt Euch festzulegen, wie[/left]
verschiedene Fraktionen auf Euren Charakter reagieren.[/left]
[/left]
Diese Gruppierungen sind natürlich nicht die einzigen[/left]
Fraktionen des Spiels, aber sie sind die am weitesten[/left]
verbreiteten.[/left]
[/left]
Der Durchschnittswert des Rufs aller Gruppierungen[/left]
gegenüber Eurer Klasse muss stets null betragen.[/left]
Fügt Ihr einer Gruppe fünf Punkte hinzu, müsst Ihr[/left]
fünf Punkte einer anderen abziehen.[/left]
[/left]
Weitere Informationen zur Bedeutung des Rufs findet Ihr[/left]
im beiliegenden Daggerfall-Almanach.[/left]
[/end]"
2407,"Hilfe: Fertigkeitssteigerung[/center]
[/center]
Die Position des Dolches auf der Fertigkeitssteigerungsskala[/left]
zeigt die ungefähre Schwierigkeit an, eine Fertigkeit mit der[/left]
jeweiligen Klasse zu verbessern. Je höher der Dolch, desto[/left]
schwieriger wird es, Fertigkeiten zu steigern.[/left]
[/left]
Besondere Vorteile und hohe Trefferpunkte erschweren, die[/left]
Fertigkeitssteigerung, während besondere Nachteile oder[/left]
geringere Trefferpunkte diese erleichtern.[/left]
[/left]
Ein wahrer Krieger lernt seine Fertigkeiten mit durchschnittlicher[/left]
Geschwindigkeit, während ein Dieb schnell und ein Magier[/left]
langsamer Fortschritte macht.[/left]
[/end]"
2500,"%qdt - ""%qot"", meinte %pnq in %plq.[/end]"
3100,"Es tut mir leid, aber ich kann nur Personen mit einem bestimmten Rang helfen.[/record]
Ihr habt nicht den nötigen Rang, um meine Dienste in Anspruch nehmen zu können.[/record]
Meine Diense stehen nur Personen eines bestimmten Ranges zur Verfügung.[/record]
Entschuldigung, aber ich darf nur bestimmten, hochrangigen Mitgliedern helfen.[/record]
Vielleicht kann ich Euch eines Tages helfen, aber noch habt Ihr nicht den nötigen Rang.[/record]
Kommt zurück, wenn Ihr hier einen höheren Rang innehabt.[/record]
Ich kann meine Dienste nicht einfach jedem anbieten. Ich hoffe, Ihr versteht das.[/record]
Meine Dienste sind einigen wenigen vorbehalten. Ihr gehört noch nicht dazu.[/end]"
3353,Oh verdammt![/end]
3503,"Seid gegrüßt, %pcf.[/center]
Heute Nacht werden wir %dts aus[/center]
den Tiefen des Reichs des Vergessens rufen.[/center]
Es ist kein ganz kostengünstiges Unterfangen,[/center]
daher muss ich von Euch %a Goldstücke verlangen.[/center]
[/center] 
Kommen wir überein?[/center]
[/record]
Heute Nacht werden wir in die Abgründe des[/center]
Reichs des Vergessens ausgreifen, um den verdorbenen[/center]
Daedraherrscher %dts nach Mundus zu rufen.[/center]
Von Euch brauchen wir für diesen Dienst %a Goldstücke.[/center]
[/end]"
3504,"Seid gegrüßt, Freund %pcf.[/center]
Heute Nacht werden wir %dts aus[/center]
den Tiefen des Reichs des Vergessens rufen.[/center]
Üblicherweise verlangen wir dafür Gold, aber[/center]
für Freunde wie Euch ist dieser Dienst umsonst.[/center]
Soll ich weitermachen?[/center]
[/record]
Seid willkommen, %pcf.[/center]
In dieser Nacht werden wir in die Abgründe[/center]
zum Reich des Vergessens ausgreifen, um den[/center]
üblen Geist des Daedraherrschers %dts[/center]
nach Mundus zu rufen. Ein Gefallen für Euch.[/center]
Soll ich weitermachen?[/center]
[/end]"
3506,"In Ordnung, %pcn.[/center]
Kommt wieder, wenn Ihr Euch anders entscheidet.[/center]
Wir können dieses Ritual jederzeit durchführen.[/center]
[/record]
Nein? Nun gut, kommt wieder, wenn Ihr es wünscht.[/center]
Ich kann %dts herbeirufen, wann immer[/center]
Ihr besser vorbereitet seid.[/center]
[/end]"
3507,"Nein? Falls Ihr Eure Meinung ändern solltet,[/center]
kommt noch heute Nacht wieder. Morgen werden[/center]
es mir die Omen nicht gestatten, die Beschwörung[/center]
zu vollenden.[/center]
[/record]
Es ist wahrhaftig ein furchteinflößendes Vorhaben.[/center]
Ihr könnt später heute Nacht wiederkommen, wenn[/center]
Ihr wollt, aber morgen ist schon ein Tag zu spät,[/center]
um %dts noch zu beschwören.
[/end]"
3508,"Die Beschwörung scheint fehlgeschlagen zu sein.[/center]
[/record]
Heute Nacht wurde %dts nicht beschworen.[/center]
Nehmt meine Entschuldigung an.[/center]
[/end]"
3509,"Heute sind uns die Omen für eine sichere[/center]
Beschwörung nicht gewogen, %pcf.[/center]
Kehrt am %dfs wieder, wenn Ihr[/center]
bei der Beschwörung von %dts[/center]
anwesend sein wollt.[/center]
[/record]
Heute Abend beschwören wir %dts nicht.[/center]
Kehrt am %dfs wieder, wenn Ihr bei[/center]
der Beschwörung dabei sein wollt.[/center]
[/end]"
4000,"Wollt Ihr teleportieren oder einen Anker setzen?[/center]
[/end]"
4001,"Bevor Ihr teleportieren könnt, müsst Ihr einen Anker setzen.
[/end]"
4020,"Gratulation, %pcn,[/center]
Ihr seid nun Meister der Fertigkeit [/center]
%ski. Einer der besten Anwender[/center]
der Fertigkeit %ski in Tamriel.[/end]"
4021,"Meister der Fertigkeit ""%ski""[/end]"
4022,"Ich soll Euch trainieren?[/center]
Eher könntet Ihr mir noch ein paar[/center]
Dinge beibringen, %pct.[/center]
[/record]
Es tut mir leid, %pct.[/center]
Ich kann Euch nichts beibringen,[/center]
was Ihr nicht längst schon wisst.[/center] 
[/record]
Ihr habt Euch eine Fertigkeit ausgesucht,[/center]
in der Euer Können das meine mit Sicherheit[/center]
übersteigt, %pct.[/center]
[/record]
Ihr seid bereits weitaus geschickter[/center]
 als ich es bin, %pct.
[/end]"
4023,"Ihr müsst Euch Zeit lassen, um über das[/center]
zu reflektieren, was Ihr heute gelernt habt.[/center]
[/record]
Ihr könnt mehrere Fertigkeiten pro Tag[/center]
trainieren, aber Ihr seid jetzt noch erschöpft.[/center]
Kommt in 9 Stunden wieder.[/center]
[/end]"
4050,"Reliquiar von Raen[/record]
Schrein von Bandi[/record]
Schrein von Mai[/record]
Schutzort von Phen[/record]
Amboss von Ebenarm[/record]
Altar von I'ric[/record]
Divad-Monument[/record]
Schrein von Jone[/record]
Schrein von Jephre[/record]
Reliquiar von Sai[/record]
Schrein von Vigryl[/record]
Schrein von Dugrod[/record]
Jhim Seis Schrein[/record]
Monument des Weisen[/record]
Schrein von Jode[/record]
Schrein von Q'Olwe[/record]
Schrein von Ephen[/record]
Strenners Zuflucht[/record]
Kieran-Theater[/record]
Djenstätte[/record]
Altar von Notorgo[/end]"
4051,"Gräberfeld %ln[/record]
Gräberfeld %ln[/record]
Gräberfeld %ln[/record]
Gräberfeld %ln[/record]
Friedhof %ln[/record]
Friedhof %ln[/record]
Friedhof %ln[/record]
Friedhof %ln[/record]
Gräber von %ln[/record]
%ln-Gruft[/record]
Grabstätten von %ln[/record]
%ln-Grabstätten[/record]
%ln-Gewölbe[/record]
%ln-Krypten[/record]
%ln-Grabanlage[/record]
%ln-Gedächtnisgärten[/end]"
